Id,Label,timeset,entitytype,interval,eigencentrality,clustering,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,dynamic_clustering,dynamic_indegree,dynamic_outdegree,dynamic_degree
"""Occupators"" Swing Aggregation","""Occupators"" Swing Aggregation","<[1946-04-14, 1946-05-05]>",ORGANIZATION,"<[1946-04-14, 1946-05-05]>",0.001088,0,89,18,0.108826,0.140013,471,1,1,2,1,1,2,0,0.000095,"<[1946-04-07, 1946-04-14, 0.006428988895382817]; [1946-04-14, 1946-04-21, 0.006428988895382817]; [1946-04-21, 1946-04-28, 0.007389162561576354]; [1946-04-28, 1946-05-05, 0.0064754856614246065]; [1946-05-05, 1946-05-12, 0.006278538812785388]>","<[1946-04-07, 1946-04-14, 1]; [1946-04-14, 1946-04-21, 1]; [1946-04-21, 1946-04-28, 1]; [1946-04-28, 1946-05-05, 1]; [1946-05-05, 1946-05-12, 1]>","<[1946-04-07, 1946-04-14, 1]; [1946-04-14, 1946-04-21, 1]; [1946-04-21, 1946-04-28, 1]; [1946-04-28, 1946-05-05, 1]; [1946-05-05, 1946-05-12, 1]>","<[1946-04-07, 1946-04-14, 2]; [1946-04-14, 1946-04-21, 2]; [1946-04-21, 1946-04-28, 2]; [1946-04-28, 1946-05-05, 2]; [1946-05-05, 1946-05-12, 2]>"
"""Spotlight Time""","""Spotlight Time""","<[1946-04-14, 1946-05-05]>",EVENT,"<[1946-04-14, 1946-05-05]>",0.003427,0.047619,89,17,0.121856,0.171038,1415,3,4,7,4,4,8,0.002075,0.049894,"<[1946-04-07, 1946-04-14, 0.011764705882352941]; [1946-04-14, 1946-04-21, 0.011764705882352941]; [1946-04-21, 1946-04-28, 0.0]; [1946-04-28, 1946-05-05, 0.007526881720430108]; [1946-05-05, 1946-05-12, 0.015070921985815602]>","<[1946-04-07, 1946-04-14, 3]; [1946-04-14, 1946-04-21, 3]; [1946-04-21, 1946-04-28, 3]; [1946-04-28, 1946-05-05, 3]; [1946-05-05, 1946-05-12, 3]>","<[1946-04-07, 1946-04-14, 4]; [1946-04-14, 1946-04-21, 4]; [1946-04-21, 1946-04-28, 4]; [1946-04-28, 1946-05-05, 4]; [1946-05-05, 1946-05-12, 4]>","<[1946-04-07, 1946-04-14, 7]; [1946-04-14, 1946-04-21, 7]; [1946-04-21, 1946-04-28, 7]; [1946-04-28, 1946-05-05, 7]; [1946-05-05, 1946-05-12, 7]>"
'Docs' Davidson,'Docs' Davidson,"<[1946-05-26, 1946-06-02]>",PERSON,"<[1946-05-26, 1946-06-02]>",0,0,23,1,1,1,0,0,1,1,0,1,1,0,0,"<[1946-05-19, 1946-05-26, 0.004675196850393701]; [1946-05-26, 1946-06-02, 0.001142204454597373]; [1946-06-02, 1946-06-09, 0.0015194015895278168]>","<[1946-05-19, 1946-05-26, 0]; [1946-05-26, 1946-06-02, 0]; [1946-06-02, 1946-06-09, 0]>","<[1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]; [1946-06-02, 1946-06-09, 1]>","<[1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]; [1946-06-02, 1946-06-09, 1]>"
'Jolly' Schwartz,'Jolly' Schwartz,"<[1946-05-26, 1946-06-02]>",PERSON,"<[1946-05-26, 1946-06-02]>",0,0,9,1,1,1,0,0,1,1,0,1,1,0,0,"<[1946-05-19, 1946-05-26, 0.0016989466530750934]; [1946-05-26, 1946-06-02, 0.0036231884057971015]; [1946-06-02, 1946-06-09, 0.009836065573770493]>","<[1946-05-19, 1946-05-26, 0]; [1946-05-26, 1946-06-02, 0]; [1946-06-02, 1946-06-09, 0]>","<[1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]; [1946-06-02, 1946-06-09, 1]>","<[1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]; [1946-06-02, 1946-06-09, 1]>"
'Man In The Street' Broadcast,'Man In The Street' Broadcast,"<[1946-05-19, 1946-05-26]>",EVENT,"<[1946-05-19, 1946-05-26]>",0,0,61,1,1,1,0,0,1,1,0,1,1,0,0.000009,"<[1946-05-12, 1946-05-19, 0.005402930402930403]; [1946-05-19, 1946-05-26, 0.02378048780487805]; [1946-05-26, 1946-06-02, 0.012854609929078014]>","<[1946-05-12, 1946-05-19, 0]; [1946-05-19, 1946-05-26, 0]; [1946-05-26, 1946-06-02, 0]>","<[1946-05-12, 1946-05-19, 1]; [1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]>","<[1946-05-12, 1946-05-19, 1]; [1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]>"
'Round The Bandstand,'Round The Bandstand,"<[1946-06-09, 1946-06-16]>",JOURNAL_COLUMN,"<[1946-06-09, 1946-06-16]>",0.001088,0,13,0,0,0,0,1,0,1,1,0,1,0.000005,0,"<[1946-06-02, 1946-06-09, 0.017676767676767676]; [1946-06-09, 1946-06-16, 0.002380952380952381]; [1946-06-16, 1946-06-23, 0.0024977960622979724]>","<[1946-06-02, 1946-06-09, 1]; [1946-06-09, 1946-06-16, 1]; [1946-06-16, 1946-06-23, 1]>","<[1946-06-02, 1946-06-09, 0]; [1946-06-09, 1946-06-16, 0]; [1946-06-16, 1946-06-23, 0]>","<[1946-06-02, 1946-06-09, 1]; [1946-06-09, 1946-06-16, 1]; [1946-06-16, 1946-06-23, 1]>"
'Swivel-Hips' Jules Doliner,'Swivel-Hips' Jules Doliner,"<[1945-12-16, 1945-12-23]>",PERSON,"<[1945-12-16, 1945-12-23]>",0,0,77,10,0.194444,0.219207,0,0,2,2,0,2,2,0,0.00043,"<[1945-12-16, 1945-12-23, 0.007227891156462585]; [1945-12-23, 1945-12-30, 0.006081438392384982]>","<[1945-12-16, 1945-12-23, 0]; [1945-12-23, 1945-12-30, 0]>","<[1945-12-16, 1945-12-23, 2]; [1945-12-23, 1945-12-30, 2]>","<[1945-12-16, 1945-12-23, 2]; [1945-12-23, 1945-12-30, 2]>"
'Uncle Joe' Hamilton,'Uncle Joe' Hamilton,"<[1946-06-30, 1946-07-07]>",PERSON,"<[1946-06-30, 1946-07-07]>",0,0,66,18,0.108665,0.140646,0,0,2,2,0,2,2,0,0.000009,"<[1946-06-23, 1946-06-30, 0.001004016064257028]; [1946-06-30, 1946-07-07, 0.0016216216216216215]; [1946-07-07, 1946-07-14, 0.0017605633802816902]>","<[1946-06-23, 1946-06-30, 0]; [1946-06-30, 1946-07-07, 0]; [1946-07-07, 1946-07-14, 0]>","<[1946-06-23, 1946-06-30, 2]; [1946-06-30, 1946-07-07, 2]; [1946-07-07, 1946-07-14, 2]>","<[1946-06-23, 1946-06-30, 2]; [1946-06-30, 1946-07-07, 2]; [1946-07-07, 1946-07-14, 2]>"
'Vino' Grapieoli,'Vino' Grapieoli,"<[1945-12-23, 1945-12-30]>",PERSON,"<[1945-12-23, 1945-12-30]>",0,0,55,2,0.666667,0.75,0,0,1,1,0,1,1,0,0,"<[1945-12-16, 1945-12-23, 0.004201680672268907]; [1945-12-23, 1945-12-30, 0.00196078431372549]; [1945-12-30, 1946-01-06, 0.0034965034965034965]>","<[1945-12-16, 1945-12-23, 0]; [1945-12-23, 1945-12-30, 0]; [1945-12-30, 1946-01-06, 0]>","<[1945-12-16, 1945-12-23, 1]; [1945-12-23, 1945-12-30, 1]; [1945-12-30, 1946-01-06, 1]>","<[1945-12-16, 1945-12-23, 1]; [1945-12-23, 1945-12-30, 1]; [1945-12-30, 1946-01-06, 1]>"
'Yelly' Kelly,'Yelly' Kelly,"<[1946-05-26, 1946-06-02]>",PERSON,"<[1946-05-26, 1946-06-02]>",0,0,6,1,1,1,0,0,1,1,0,1,1,0,0,"<[1946-05-19, 1946-05-26, 0.02406417112299465]; [1946-05-26, 1946-06-02, 0.006072874493927126]; [1946-06-02, 1946-06-09, 0.022048364153627313]>","<[1946-05-19, 1946-05-26, 0]; [1946-05-26, 1946-06-02, 0]; [1946-06-02, 1946-06-09, 0]>","<[1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]; [1946-06-02, 1946-06-09, 1]>","<[1946-05-19, 1946-05-26, 1]; [1946-05-26, 1946-06-02, 1]; [1946-06-02, 1946-06-09, 1]>"
-Awards And Decorations,-Awards And Decorations,"<[1946-02-20, 1946-03-31]>",ORGANIZATION,"<[1946-02-20, 1946-03-31]>",0.001088,0,61,0,0,0,0,1,0,1,1,0,1,0.000015,0,"<[1946-02-17, 1946-02-24, 0.002807017543859649]; [1946-02-24, 1946-03-03, 0.002352941176470588]; [1946-03-03, 1946-03-10, 0.002352941176470588]; [1946-03-10, 1946-03-17, 0.002352941176470588]; [1946-03-17, 1946-03-24, 0.002352941176470588]; [1946-03-24, 1946-03-31, 0.004012345679012346]; [1946-03-31, 1946-04-07, 0.004012345679012346]>","<[1946-02-17, 1946-02-24, 1]; [1946-02-24, 1946-03-03, 1]; [1946-03-03, 1946-03-10, 1]; [1946-03-10, 1946-03-17, 1]; [1946-03-17, 1946-03-24, 1]; [1946-03-24, 1946-03-31, 1]; [1946-03-31, 1946-04-07, 1]>","<[1946-02-17, 1946-02-24, 0]; [1946-02-24, 1946-03-03, 0]; [1946-03-03, 1946-03-10, 0]; [1946-03-10, 1946-03-17, 0]; [1946-03-17, 1946-03-24, 0]; [1946-03-24, 1946-03-31, 0]; [1946-03-31, 1946-04-07, 0]>","<[1946-02-17, 1946-02-24, 1]; [1946-02-24, 1946-03-03, 1]; [1946-03-03, 1946-03-10, 1]; [1946-03-10, 1946-03-17, 1]; [1946-03-17, 1946-03-24, 1]; [1946-03-24, 1946-03-31, 1]; [1946-03-31, 1946-04-07, 1]>"
.30 Caliber Machine Gun Battalion,.30 Caliber Machine Gun Battalion,"<[1946-02-20, 1946-03-31]>",ORGANIZATION,"<[1946-02-20, 1946-03-31]>",0.001088,0,136,0,0,0,0,1,0,1,1,0,1,0.000095,0,"<[1946-02-17, 1946-02-24, 0.0]; [1946-02-24, 1946-03-03, 0.0]; [1946-03-03, 1946-03-10, 0.0]; [1946-03-10, 1946-03-17, 0.0]; [1946-03-17, 1946-03-24, 0.0]; [1946-03-24, 1946-03-31, 0.0]; [1946-03-31, 1946-04-07, 0.0]>","<[1946-02-17, 1946-02-24, 1]; [1946-02-24, 1946-03-03, 1]; [1946-03-03, 1946-03-10, 1]; [1946-03-10, 1946-03-17, 1]; [1946-03-17, 1946-03-24, 1]; [1946-03-24, 1946-03-31, 1]; [1946-03-31, 1946-04-07, 1]>","<[1946-02-17, 1946-02-24, 0]; [1946-02-24, 1946-03-03, 0]; [1946-03-03, 1946-03-10, 0]; [1946-03-10, 1946-03-17, 0]; [1946-03-17, 1946-03-24, 0]; [1946-03-24, 1946-03-31, 0]; [1946-03-31, 1946-04-07, 0]>","<[1946-02-17, 1946-02-24, 1]; [1946-02-24, 1946-03-03, 1]; [1946-03-03, 1946-03-10, 1]; [1946-03-10, 1946-03-17, 1]; [1946-03-17, 1946-03-24, 1]; [1946-03-24, 1946-03-31, 1]; [1946-03-31, 1946-04-07, 1]>"
100 Disabled Veterans,100 Disabled Veterans,"<[1946-07-14, 1946-07-21]>",PERSON,"<[1946-07-14, 1946-07-21]>",0,0,92,2,0.666667,0.75,0,0,1,1,0,1,1,0,0,"<[1946-07-07, 1946-07-14, 7.84313725490196E-4]; [1946-07-14, 1946-07-21, 0.0020408163265306124]; [1946-07-21, 1946-07-28, 0.0014492753623188406]>","<[1946-07-07, 1946-07-14, 0]; [1946-07-14, 1946-07-21, 0]; [1946-07-21, 1946-07-28, 0]>","<[1946-07-07, 1946-07-14, 1]; [1946-07-14, 1946-07-21, 1]; [1946-07-21, 1946-07-28, 1]>","<[1946-07-07, 1946-07-14, 1]; [1946-07-14, 1946-07-21, 1]; [1946-07-21, 1946-07-28, 1]>"
100Th Negro Fighter Groups,100Th Negro Fighter Groups,"<[1946-07-14, 1946-07-21]>",ORGANIZATION,"<[1946-07-14, 1946-07-21]>",0.001088,0,64,0,0,0,0,1,0,1,1,0,1,0.000005,0,"<[1946-07-07, 1946-07-14, 0.003968253968253968]; [1946-07-14, 1946-07-21, 0.0012755102040816326]; [1946-07-21, 1946-07-28, 0.004878048780487805]>","<[1946-07-07, 1946-07-14, 1]; [1946-07-14, 1946-07-21, 1]; [1946-07-21, 1946-07-28, 1]>","<[1946-07-07, 1946-07-14, 0]; [1946-07-14, 1946-07-21, 0]; [1946-07-21, 1946-07-28, 0]>","<[1946-07-07, 1946-07-14, 1]; [1946-07-14, 1946-07-21, 1]; [1946-07-21, 1946-07-28, 1]>"
103 Mps,103 Mps,"<[1946-05-12, 1946-05-19]>",ORGANIZATION,"<[1946-05-12, 1946-05-19]>",0,0,54,18,0.114425,0.151184,0,0,1,1,0,1,1,0,0.0009,"<[1946-05-05, 1946-05-12, 0.023255813953488372]; [1946-05-12, 1946-05-19, 0.0033707865168539327]; [1946-05-19, 1946-05-26, 0.009195402298850575]>","<[1946-05-05, 1946-05-12, 0]; [1946-05-12, 1946-05-19, 0]; [1946-05-19, 1946-05-26, 0]>","<[1946-05-05, 1946-05-12, 1]; [1946-05-12, 1946-05-19, 1]; [1946-05-19, 1946-05-26, 1]>","<[1946-05-05, 1946-05-12, 1]; [1946-05-12, 1946-05-19, 1]; [1946-05-19, 1946-05-26, 1]>"
10Th Air Force,10Th Air Force,"<[1946-06-02, 1946-06-09]>",ORGANIZATION,"<[1946-06-02, 1946-06-09]>",0.002339,0.5,54,0,0,0,0,2,0,2,2,0,2,0.000078,0,"<[1946-05-26, 1946-06-02, 0.01282051282051282]; [1946-06-02, 1946-06-09, 0.010668563300142247]; [1946-06-09, 1946-06-16, 0.016260162601626018]>","<[1946-05-26, 1946-06-02, 2]; [1946-06-02, 1946-06-09, 2]; [1946-06-09, 1946-06-16, 2]>","<[1946-05-26, 1946-06-02, 0]; [1946-06-02, 1946-06-09, 0]; [1946-06-09, 1946-06-16, 0]>","<[1946-05-26, 1946-06-02, 2]; [1946-06-02, 1946-06-09, 2]; [1946-06-09, 1946-06-16, 2]>"
11 Portavoce,11 Portavoce,"<[1946-07-07, 1946-07-14]>",ORGANIZATION,"<[1946-07-07, 1946-07-14]>",0.002176,0,103,1,1,1,2,2,1,3,2,1,3,0.000037,0.000489,"<[1946-06-30, 1946-07-07, 0.006157635467980296]; [1946-07-07, 1946-07-14, 0.002849002849002849]; [1946-07-14, 1946-07-21, 0.003076923076923077]>","<[1946-06-30, 1946-07-07, 2]; [1946-07-07, 1946-07-14, 2]; [1946-07-14, 1946-07-21, 2]>","<[1946-06-30, 1946-07-07, 1]; [1946-07-07, 1946-07-14, 1]; [1946-07-14, 1946-07-21, 1]>","<[1946-06-30, 1946-07-07, 3]; [1946-07-07, 1946-07-14, 3]; [1946-07-14, 1946-07-21, 3]>"
1119 As (Security Section),1119 As (Security Section),"<[1946-05-12, 1946-05-19]>",ORGANIZATION,"<[1946-05-12, 1946-05-19]>",0,0,54,18,0.114425,0.151184,0,0,1,1,0,1,1,0,0.0009,"<[1946-05-05, 1946-05-12, 0.011363636363636364]; [1946-05-12, 1946-05-19, 0.02312673450508788]; [1946-05-19, 1946-05-26, 0.010344827586206896]>","<[1946-05-05, 1946-05-12, 0]; [1946-05-12, 1946-05-19, 0]; [1946-05-19, 1946-05-26, 0]>","<[1946-05-05, 1946-05-12, 1]; [1946-05-12, 1946-05-19, 1]; [1946-05-19, 1946-05-26, 1]>","<[1946-05-05, 1946-05-12, 1]; [1946-05-12, 1946-05-19, 1]; [1946-05-19, 1946-05-26, 1]>"
1133Th Mps Reds,1133Th Mps Reds,"<[1946-05-26, 1946-06-02]>",SPORTS_TEAM,"<[1946-05-26, 1946-06-02]>",0.010882,0,92,0,0,0,0,10,0,10,10,0,10,0.000422,0,"<[1946-05-19, 1946-05-26, 0.03418803418803419]; [1946-05-26, 1946-06-02, 0.00980392156862745]; [1946-06-02, 1946-06-09, 0.026276276276276277]>","<[1946-05-19, 1946-05-26, 10]; [1946-05-26, 1946-06-02, 10]; [1946-06-02, 1946-06-09, 10]>","<[1946-05-19, 1946-05-26, 0]; [1946-05-26, 1946-06-02, 0]; [1946-06-02, 1946-06-09, 0]>","<[1946-05-19, 1946-05-26, 10]; [1946-05-26, 1946-06-02, 10]; [1946-06-02, 1946-06-09, 10]>"
1150Th Qm,1150Th Qm,"<[1946-05-12, 1946-05-19]>",ORGANIZATION,"<[1946-05-12, 1946-05-19]>",0.001088,0,89,17,0.121244,0.165181,468,1,1,2,1,1,2,0,0.044838,"<[1946-05-05, 1946-05-12, 0.0049261083743842365]; [1946-05-12, 1946-05-19, 0.008620689655172414]; [1946-05-19, 1946-05-26, 0.011666666666666667]>","<[1946-05-05, 1946-05-12, 1]; [1946-05-12, 1946-05-19, 1]; [1946-05-19, 1946-05-26, 1]>","<[1946-05-05, 1946-05-12, 1]; [1946-05-12, 1946-05-19, 1]; [1946-05-19, 1946-05-26, 1]>","<[1946-05-05, 1946-05-12, 2]; [1946-05-12, 1946-05-19, 2]; [1946-05-19, 1946-05-26, 2]>"
118 Austrian Pows,118 Austrian Pows,"<[1946-06-30, 1946-07-07]>",PERSON,"<[1946-06-30, 1946-07-07]>",0,0.02381,136,17,0.133673,0.212739,0,0,7,7,0,7,7,0,0.046675,"<[1946-06-23, 1946-06-30, 0.016869095816464237]; [1946-06-30, 1946-07-07, 0.003968253968253968]; [1946-07-07, 1946-07-14, 0.007246376811594203]>","<[1946-06-23, 1946-06-30, 0]; [1946-06-30, 1946-07-07, 0]; [1946-07-07, 1946-07-14, 0]>","<[1946-06-23, 1946-06-30, 7]; [1946-06-30, 1946-07-07, 7]; [1946-07-07, 1946-07-14, 7]>","<[1946-06-23, 1946-06-30, 7]; [1946-06-30, 1946-07-07, 7]; [1946-07-07, 1946-07-14, 7]>"
119Th Rebels,119Th Rebels,"<[1946-05-12, 1946-05-19]>",SPORTS_TEAM,"<[1946-05-12, 1946-05-19]>",0.007618,0,39,0,0,0,0,7,0,7,7,0,7,0.001013,0,"<[1946-05-05, 1946-05-12, 0.041666666666666664]; [1946-05-12, 1946-05-19, 0.043076923076923075]; [1946-05-19, 1946-05-26, 0.009057971014492754]>","<[1946-05-05, 1946-05-12, 7]; [1946-05-12, 1946-05-19, 7]; [1946-05-19, 1946-05-26, 7]>","<[1946-05-05, 1946-05-12, 0]; [1946-05-12, 1946-05-19, 0]; [1946-05-19, 1946-05-26, 0]>","<[1946-05-05, 1946-05-12, 7]; [1946-05-12, 1946-05-19, 7]; [1946-05-19, 1946-05-26, 7]>"
11Th Air Force,11Th Air Force,"<[1946-02-20, 1946-03-31]>",ORGANIZATION,"<[1946-02-20, 1946-03-31]>",0.001251,0,154,0,0,0,0,1,0,1,1,0,1,0,0,"<[1946-02-17, 1946-02-24, 0.003968253968253968]; [1946-02-24, 1946-03-03, 0.00967741935483871]; [1946-03-03, 1946-03-10, 0.00967741935483871]; [1946-03-10, 1946-03-17, 0.00967741935483871]; [1946-03-17, 1946-03-24, 0.00967741935483871]; [1946-03-24, 1946-03-31, 0.004978662873399715]; [1946-03-31, 1946-04-07, 0.004978662873399715]>","<[1946-02-17, 1946-02-24, 1]; [1946-02-24, 1946-03-03, 1]; [1946-03-03, 1946-03-10, 1]; [1946-03-10, 1946-03-17, 1]; [1946-03-17, 1946-03-24, 1]; [1946-03-24, 1946-03-31, 1]; [1946-03-31, 1946-04-07, 1]>","<[1946-02-17, 1946-02-24, 0]; [1946-02-24, 1946-03-03, 0]; [1946-03-03, 1946-03-10, 0]; [1946-03-10, 1946-03-17, 0]; [1946-03-17, 1946-03-24, 0]; [1946-03-24, 1946-03-31, 0]; [1946-03-31, 1946-04-07, 0]>","<[1946-02-17, 1946-02-24, 1]; [1946-02-24, 1946-03-03, 1]; [1946-03-03, 1946-03-10, 1]; [1946-03-10, 1946-03-17, 1]; [1946-03-17, 1946-03-24, 1]; [1946-03-24, 1946-03-31, 1]; [1946-03-31, 1946-04-07, 1]>"
11Th Infantry,11Th Infantry,"<[1946-07-07, 1946-07-14]>",ORGANIZATION,"<[1946-07-07, 1946-07-14]>",0.001544,0,89,1,1,1,56,1,1,2,1,1,2,0.002333,0,"<[1946-06-30, 1946-07-07, 0.018333333333333333]; [1946-07-07, 1946-07-14, 0.017786561264822136]; [1946-07-14, 1946-07-21, 0.015151515151515152]>","<[1946-06-30, 1946-07-07, 1]; [1946-07-07, 1946-07-14, 1]; [1946-07-14, 1946-07-21, 1]>","<[1946-06-30, 1946-07-07, 1]; [1946-07-07, 1946-07-14, 1]; [1946-07-14, 1946-07-21, 1]>","<[1946-06-30, 1946-07-07, 2]; [1946-07-07, 1946-07-14, 2]; [1946-07-14, 1946-07-21, 2]>"
12Th A.F. Band,12Th A.F. Band,"<[1945-12-23, 1945-12-30]>",ORGANIZATION,"<[1945-12-23, 1945-12-30]>",0.001088,0,0,0,0,0,0,1,0,1,1,0,1,0,0,"<[1945-12-16, 1945-12-23, 0.004201680672268907]; [1945-12-23, 1945-12-30, 0.006012950971322849]; [1945-12-30, 1946-01-06, 0.0]>","<[1945-12-16, 1945-12-23, 1]; [1945-12-23, 1945-12-30, 1]; [1945-12-30, 1946-01-06, 1]>","<[1945-12-16, 1945-12-23, 0]; [1945-12-23, 1945-12-30, 0]; [1945-12-30, 1946-01-06, 0]>","<[1945-12-16, 1945-12-23, 1]; [1945-12-23, 1945-12-30, 1]; [1945-12-30, 1946-01-06, 1]>"
12Th Air Force,12Th Air Force,"<[1946-02-20, 1946-03-31]>",ORGANIZATION,"<[1946-02-20, 1946-03-31]>",0.001088,0.5,136,18,0.103954,0.134222,0,1,1,2,1,1,2,0.000095,0.001679,"<[1946-02-17, 1946-02-24, 0.00967741935483871]; [1946-02-24, 1946-03-03, 0.0013227513227513227]; [1946-03-03, 1946-03-10, 0.0013227513227513227]; [1946-03-10, 1946-03-17, 0.0013227513227513227]; [1946-03-17, 1946-03-24, 0.0013227513227513227]; [1946-03-24, 1946-03-31, 0.009009009009009009]; [1946-03-31, 1946-04-07, 0.009009009009009009]>","<[1946-02-17, 1946-02-24, 1]; [1946-02-24, 1946-03-03, 1]; [1946-03-03, 1946-03-10, 1]; [1946-03-10, 1946-03-17, 1]; [1946-03-17, 1946-03-24, 1]; [1946-03-24, 1946-03-31, 1]; [1946-03-31, 1946-04-07, 1]>","<[1946-02-17, 1946-02-24, 1]; [1946-02-24, 1946-03-03, 1]; [1946-03-03, 1946-03-10, 1]; [1946-03-10, 1946-03-17, 1]; [1946-03-17, 1946-03-24, 1]; [1946-03-24, 1946-03-31, 1]; [1946-03-31, 1946-04-07, 1]>","<[1946-02-17, 1946-02-24, 2]; [1946-02-24, 1946-03-03, 2]; [1946-03-03, 1946-03-10, 2]; [1946-03-10, 1946-03-17, 2]; [1946-03-17, 1946-03-24, 2]; [1946-03-24, 1946-03-31, 2]; [1946-03-31, 1946-04-07, 2]>"
13-9 Win,13-9 Win,"<[1946-06-02, 1946-06-09]>",EVENT,"<[1946-06-02, 1946-06-09]>",0.022258,0.166667,92,1,1,1,177.828288,2,1,3,2,1,3,0.003215,0.00012,"<[1946-05-26, 1946-06-02, 0.013257575757575758]; [1946-06-02, 1946-06-09, 0.0106951871657754]; [1946-06-09, 1946-06-16, 0.017992424242424244]>","<[1946-05-26, 1946-06-02, 2]; [1946-06-02, 1946-06-09, 2]; [1946-06-09, 1946-06-16, 2]>","<[1946-05-26, 1946-06-02, 1]; [1946-06-02, 1946-06-09, 1]; [1946-06-09, 1946-06-16, 1]>","<[1946-05-26, 1946-06-02, 3]; [1946-06-02, 1946-06-09, 3]; [1946-06-09, 1946-06-16, 3]>"
130 men,130 men,"<[1946-06-23, 1946-06-30]>",UNKNOWN,"<[1946-06-23, 1946-06-30]>",0,0,51,19,0.103692,0.137988,0,0,2,2,0,2,2,0,0.000739,"<[1946-06-16, 1946-06-23, 0.020242914979757085]; [1946-06-23, 1946-06-30, 0.013978494623655914]; [1946-06-30, 1946-07-07, 0.017786561264822136]>","<[1946-06-16, 1946-06-23, 0]; [1946-06-23, 1946-06-30, 0]; [1946-06-30, 1946-07-07, 0]>","<[1946-06-16, 1946-06-23, 2]; [1946-06-23, 1946-06-30, 2]; [1946-06-30, 1946-07-07, 2]>","<[1946-06-16, 1946-06-23, 2]; [1946-06-23, 1946-06-30, 2]; [1946-06-30, 1946-07-07, 2]>"
1398 Bulldozers,1398 Bulldozers,"<[1946-06-02, 1946-06-09]>",SPORTS_TEAM,"<[1946-06-02, 1946-06-09]>",0.003265,0.05,92,13,0.197632,0.245197,705.605148,3,2,5,3,2,5,0.000113,0.00115,"<[1946-05-26, 1946-06-02, 0.011904761904761904]; [1946-06-02, 1946-06-09, 0.0010080645161290322]; [1946-06-09, 1946-06-16, 0.00946969696969697]>","<[1946-05-26, 1946-06-02, 3]; [1946-06-02, 1946-06-09, 3]; [1946-06-09, 1946-06-16, 3]>","<[1946-05-26, 1946-06-02, 2]; [1946-06-02, 1946-06-09, 2]; [1946-06-09, 1946-06-16, 2]>","<[1946-05-26, 1946-06-02, 5]; [1946-06-02, 1946-06-09, 5]; [1946-06-09, 1946-06-16, 5]>"
13Th Cavalry,13Th Cavalry,"<[1946-02-20, 1946-03-31]>",ORGANIZATION,"<[1946-02-20, 1946-03-31]>",0.001088,0,136,0,0,0,0,1,0,1,1,0,1,0.000095,0,"<[1946-02-17, 1946-02-24, 0.0]; [1946-02-24, 1946-03-03, 0.0]; [1946-03-03, 1946-03-10, 0.0]; [1946-03-10, 1946-03-17, 0.0]; [1946-03-17, 1946-03-24, 0.0]; [1946-03-24, 1946-03-31, 0.004032258064516129]; [1946-03-31, 1946-04-07, 0.004032258064516129]>","<[1946-02-17, 1946-02-24, 1]; [1946-02-24, 1946-03-03, 1]; [1946-03-03, 1946-03-10, 1]; [1946-03-10, 1946-03-17, 1]; [1946-03-17, 1946-03-24, 1]; [1946-03-24, 1946-03-31, 1]; [1946-03-31, 1946-04-07, 1]>","<[1946-02-17, 1946-02-24, 0]; [1946-02-24, 1946-03-03, 0]; [1946-03-03, 1946-03-10, 0]; [1946-03-10, 1946-03-17, 0]; [1946-03-17, 1946-03-24, 0]; [1946-03-24, 1946-03-31, 0]; [1946-03-31, 1946-04-07, 0]>","<[1946-02-17, 1946-02-24, 1]; [1946-02-24, 1946-03-03, 1]; [1946-03-03, 1946-03-10, 1]; [1946-03-10, 1946-03-17, 1]; [1946-03-17, 1946-03-24, 1]; [1946-03-24, 1946-03-31, 1]; [1946-03-31, 1946-04-07, 1]>"
14 Corso Garibaldi,14 Corso Garibaldi,"<[1945-12-16, 1945-12-23]>",LOCATION,"<[1945-12-16, 1945-12-23]>",0.001251,0,89,17,0.121244,0.165181,936,1,1,2,1,1,2,0,0.044838,"<[1945-12-16, 1945-12-23, 0.00946969696969697]; [1945-12-23, 1945-12-30, 0.0038461538461538464]>","<[1945-12-16, 1945-12-23, 1]; [1945-12-23, 1945-12-30, 1]>","<[1945-12-16, 1945-12-23, 1]; [1945-12-23, 1945-12-30, 1]>","<[1945-12-16, 1945-12-23, 2]; [1945-12-23, 1945-12-30, 2]>"
